MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.195702961,0.275451343,,0.434948107,,0.630584728,,1.119244687,,1.607904647,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity|Hydro,EJ/yr,10.34208618,11.69767866,,13.52304156,,16.5944878,,16.61433924,,17.03054809,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.455046748,9.668798245,,11.92809336,,14.10669236,,14.82651535,,15.09005831,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity|Ocean,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity|Oil,EJ/yr,3.895107674,4.416657509,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity|Solar,EJ/yr,0.015789581,0.012262176,,0.007346426,,1.014526589,,6.150841626,,42.7135565,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Secondary Energy|Electricity|Wind,EJ/yr,0.362971856,0.399155979,,4.25811424,,26.55601434,,39.929174,,35.18229283,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,ASIA,Emissions|CO2,Mt CO2/yr,10540.73749,13160.11072,,11893.7953,,9478.332262,,7367.073259,,5513.789691,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9126.178808,11910.02185,,10742.74328,,8544.995679,,6788.589162,,5275.722601,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,ASIA,Emissions|CO2|Land Use,Mt CO2/yr,1414.558679,1250.08887,,1151.052014,,933.3365836,,578.484097,,238.06709,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,ASIA,Final Energy,EJ/yr,88.6174471,110.8523132,,122.3483578,,139.9889089,,165.5423389,,184.4705086,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,ASIA,Final Energy|Industry,EJ/yr,38.98875857,50.8786599,,54.81627324,,60.12647236,,74.35261232,,89.48219021,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,ASIA,Final Energy|Transportation,EJ/yr,12.49857051,17.67310178,,24.09536482,,29.92116923,,36.42840051,,39.05776148,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,ASIA,Population,million,3491.875355,3693.739942,,4070.700815,,4347.513158,,4521.687544,,4603.349371,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,ASIA,Primary Energy,EJ/yr,133.5556685,168.7442261,,163.3749551,,169.5732078,,215.9769864,,249.3305846,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,OECD90,Emissions|CO2,Mt CO2/yr,12085.84804,12744.15811,,11659.28757,,8708.807903,,5488.859764,,3355.221998,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12000.81447,12669.01134,,11590.09421,,8652.702104,,5454.085265,,3340.911036,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,OECD90,Emissions|CO2|Land Use,Mt CO2/yr,85.033573,75.1467753,,69.19335827,,56.10579873,,34.77449924,,14.31096185,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,OECD90,Final Energy,EJ/yr,142.2490172,147.0223744,,139.4529614,,136.0206759,,135.1949489,,114.2581532,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,OECD90,Final Energy|Industry,EJ/yr,45.42835008,46.42635911,,45.9203434,,45.14748504,,46.91624398,,49.16850061,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,OECD90,Final Energy|Transportation,EJ/yr,46.96600617,48.81376972,,43.78440628,,38.63535205,,35.28950116,,25.9182526,,,,,,,,,,
