MODEL,SCENARIO,REGION,VARIABLE,UNIT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM/CGE 2.0,SSP1-26,World,Price|Carbon,US$2010/t CO2,,,,,,0,,,,,0.59037,,,,,,,,,,15.6486,,,,,,,,,,35.66255,,,,,,,,,,104.26053,,,,,,,,,,114.37151,,,,,,,,,,155.78673,,,,,,,,,,286.28798,,,,,,,,,,330.67045,,,,,,,,,,409.00816,,,,,,,,,,423.88082
AIM/CGE 2.0,SSP1-26,World,Primary Energy,EJ/yr,,,,,,448.2861,,,,,470.1648,,,,,,,,,,512.7591,,,,,,,,,,508.5986,,,,,,,,,,482.4276,,,,,,,,,,501.2413,,,,,,,,,,506.1213,,,,,,,,,,485.3447,,,,,,,,,,475.4564,,,,,,,,,,460.3308,,,,,,,,,,447.0171
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Biomass,EJ/yr,,,,,,46.1461,,,,,44.9429,,,,,,,,,,42.4646,,,,,,,,,,40.9882,,,,,,,,,,50.6973,,,,,,,,,,62.8509,,,,,,,,,,73.5155,,,,,,,,,,70.8521,,,,,,,,,,73.2315,,,,,,,,,,76.8439,,,,,,,,,,77.9287
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Coal,EJ/yr,,,,,,118.2456,,,,,129.0773,,,,,,,,,,138.5649,,,,,,,,,,106.8871,,,,,,,,,,61.6089,,,,,,,,,,57.9941,,,,,,,,,,54.0481,,,,,,,,,,41.8957,,,,,,,,,,37.7433,,,,,,,,,,31.8567,,,,,,,,,,29.3985
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Fossil,EJ/yr,,,,,,381.2207,,,,,400.7582,,,,,,,,,,435.7994,,,,,,,,,,402.6476,,,,,,,,,,309.6887,,,,,,,,,,279.7792,,,,,,,,,,253.7905,,,,,,,,,,207.7766,,,,,,,,,,192.0237,,,,,,,,,,171.6095,,,,,,,,,,164.1606
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Gas,EJ/yr,,,,,,98.7236,,,,,102.8934,,,,,,,,,,115.2733,,,,,,,,,,111.0121,,,,,,,,,,87.0096,,,,,,,,,,75.3111,,,,,,,,,,73.0255,,,,,,,,,,67.833,,,,,,,,,,68.4129,,,,,,,,,,66.9526,,,,,,,,,,68.0694
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Geothermal,EJ/yr,,,,,,0.2069,,,,,0.2159,,,,,,,,,,0.2557,,,,,,,,,,0.2985,,,,,,,,,,0.3527,,,,,,,,,,0.3738,,,,,,,,,,0.4259,,,,,,,,,,0.4932,,,,,,,,,,0.5489,,,,,,,,,,0.5907,,,,,,,,,,0.6142
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Hydro,EJ/yr,,,,,,10.4246,,,,,12.2081,,,,,,,,,,15.8805,,,,,,,,,,20.2274,,,,,,,,,,23.6824,,,,,,,,,,22.3489,,,,,,,,,,23.9966,,,,,,,,,,26.9291,,,,,,,,,,27.5145,,,,,,,,,,27.8986,,,,,,,,,,27.2271
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Non-Biomass Renewables,EJ/yr,,,,,,11.0442,,,,,13.3809,,,,,,,,,,21.4248,,,,,,,,,,45.154,,,,,,,,,,97.9023,,,,,,,,,,134.4571,,,,,,,,,,154.2456,,,,,,,,,,179.3423,,,,,,,,,,183.211,,,,,,,,,,185.2776,,,,,,,,,,180.6178
AIM/CGE 2.0,SSP1-26,World,Primary Energy|Nuclear,EJ/yr,,,,,,9.8751,,,,,11.0828,,,,,,,,,,13.0702,,,,,,,,,,19.8088,,,,,,,,,,24.1392,,,,,,,,,,24.1541,,,,,,,,,,24.5697,,,,,,,,,,27.3736,,,,,,,,,,26.9902,,,,,,,,,,26.5998,,,,,,,,,,24.3102
